Company,Industry Sector,Country/Region,eBPF NFs Deployed,Specific Tools / Projects,How They Use eBPF NFs,UC1 Security: Conformance Check,UC1 Detail — What Yaksha Prashna Verifies,UC2 Debugging: NF Behavior,UC2 Detail — What Retrieval Queries Answer,UC3 Performance,UC3 Detail — What NF Analysis Optimizes,Fit Score (1-5),Priority Tier,Evidence / Source
Sysdig / Falco (CNCF),Cloud-Native Security,USA / Italy,Falco eBPF driver: captures kernel syscalls and network events for real-time threat detection. Graduated CNCF project. Falco Feeds (Nov 2024): curated expert detection rules backed by Sysdig Threat Research Team.,"Falco (GitHub: falcosecurity/falco); Sysdig eBPF agent; Falco Feeds service","Falco eBPF driver captures events matching Falco rules (e.g. ""unexpected outbound connection""); 1000s of production users; Sysdig platform embeds Falco for enterprise; open-source + commercial",YES — Critical,Verify Falco eBPF driver bytecode captures ALL events specified in Falco rules — a driver gap means a threat goes undetected even though a rule exists for it,YES — Critical,"When Falco emits a false positive or misses a threat — ""Under what syscall/network conditions does the eBPF driver trigger/not trigger?"" — retrieval queries answer this vs. current manual bytecode analysis",YES,Falco agent overhead is a key commercial concern — high overhead = slow enterprise adoption. NF performance analysis of the eBPF driver enables competitive optimization,4,Tier 2 — Strong,"Falco GitHub; CNCF TOC graduation; Sysdig blog; Falco Feeds announcement Nov 2024"
AccuKnox / KubeArmor,Cloud-Native Security (CNCF),USA / India,"KubeArmor: container-aware runtime security enforcement using eBPF + LSM. Restricts: process execution, file access, network operations, resource utilization at system level","KubeArmor (GitHub: kubearmor/KubeArmor); LSM hooks; eBPF NFs","KubeArmor enforces security policies blocking prohibited container behaviors (unauthorized network connections, binary execution) using eBPF at the kernel level; cloud-native zero-trust runtime enforcement",YES — Critical,Verify KubeArmor's enforcement eBPF NF correctly implements stated policy — e.g. ""Does this NF block ALL outbound connections from container C except whitelisted endpoints?"",YES — Critical,"When KubeArmor blocks a legitimate action (false positive) or misses a prohibited action (false negative) — behavioral analysis of the enforcement NF identifies the conditional gap",PARTIAL,KubeArmor overhead determines adoption — security vendors with lower agent overhead win; NF optimization matters,4,Tier 2 — Strong,"KubeArmor GitHub; AccuKnox Cilium USERS.md entry; CNCF Sandbox project; KubeCon presentations"
Bloomberg LP,Financial Data / Media,USA,Cilium for BQuant Enterprise (quantitative investment platform). Host-based network policies as 'data sandboxes' — strict egress control preventing data exfiltration. Hubble for network debugging.,Cilium; Hubble; CiliumNetworkPolicy,"Data sandbox architecture: Cilium NFs restrict cluster network access to specific ports/hostnames, preventing unauthorized data egress from customer quantitative investment workloads",YES — Critical,"Data sandbox = explicit conformance use case. Verify Cilium NF bytecode correctly prevents egress from customer workload — a bypass = financial data exfiltration = FINRA/SEC regulatory violation + reputational damage",YES,"When data sandbox policy unexpectedly blocks or allows traffic — behavioral analysis of the Cilium policy NF explains: ""Under what conditions does this NF allow egress to endpoint X?""",PARTIAL,Secondary to security and correctness; but policy chain performance matters at Bloomberg's cluster scale,4,Tier 2 — Strong,"Bloomberg CNCF case study; Cilium.io case study on Bloomberg BQuant; USERS.md entry; KubeCon talk"
Capital One,US Banking / Financial Services,USA,"Cilium standard CNI for ALL Kubernetes environments bank-wide. CiliumClusterWideNetworkPolicy, CiliumNetworkPolicy, Hubble, network visibility.","Cilium; Hubble; CiliumNetworkPolicy; kube-proxy replacement","Bank standardized on Cilium across all k8s environments; Cilium NFs enforce all network segmentation and security policies; Hubble used for visibility and compliance reporting",YES — Critical,"PCI-DSS, SOX, FFIEC compliance mandates verifiable network segmentation. Yaksha Prashna provides automated conformance proof that Cilium NF bytecode enforces regulatory requirements — replaces expensive manual pen-testing",YES — Critical,"Banking network incident = simultaneous operational + security incident. Behavioral analysis of Cilium NF: ""Under what conditions can pod X reach card data environment?"" answers auditor questions and speeds incident response",PARTIAL,Consistent NF execution across all bank k8s environments — performance guarantees matter for banking applications SLA,4,Tier 2 — Strong,"Capital One KubeCon talk; Cilium USERS.md (Capital One entry); eBPF.io user story; YouTube presentation"
Palantir Technologies,Defence / Intelligence / Enterprise Analytics,USA (Global),Cilium as main CNI across ALL cloud providers (AWS / Azure / GCP). ENI networking; FQDN-based policy; FQDN filtering; IPSec transparent encryption.,"Cilium; FQDN policy NF; IPSec NF; CiliumNetworkPolicy","Multi-cloud Kubernetes networking for classified and sensitive government workloads; FQDN filtering restricts DNS-based egress; IPSec encrypts all inter-pod traffic",YES — Critical,"Palantir handles classified US government data. Verify eBPF NFs enforce data classification policies — e.g., ""Does this FQDN filtering NF ALWAYS prevent connections to un-approved domains?"" — mission-critical assurance required",YES — Critical,"FQDN-based NFs depend on DNS resolution — ""Under what DNS response conditions does this policy NF allow vs. block egress?"" is a complex behavioral question that requires NF analysis, not just flow capture",PARTIAL,Multi-cloud deployment — consistent NF behavior across AWS/Azure/GCP is a correctness requirement before it is a performance one,4,Tier 2 — Strong,"Cilium USERS.md (Palantir entry); IPSec and FQDN policy entries; publicly known US govt customer"
Alibaba Cloud,Cloud Provider (China),China,Terway CNI (Alibaba's own CNI using Cilium as high-performance ENI dataplane); KubeSkoop (eBPF Kubernetes network diagnosis tool); Cilium for ACK (Alibaba Container Service).,"Terway (GitHub: AliyunContainerService/terway); KubeSkoop (GitHub: alibaba/kubeskoop); Cilium","Terway is Alibaba's production CNI: uses Cilium eBPF for ENI dataplane; KubeSkoop open-sourced as Alibaba's answer to eBPF network diagnosis in Kubernetes",YES,Multi-tenant cloud isolation — Terway/Cilium NF conformance critical for isolating customer workloads in ACK,YES,"KubeSkoop shows flow-level metrics — Yaksha Prashna adds PROGRAM-LEVEL behavioral analysis: ""Why does the NF on this specific node drop pod-to-pod traffic for this traffic class?""",YES — Critical,"ENI dataplane performance = ACK product quality; Cilium NF optimization on Alibaba's custom Terway architecture enables further performance gains above Cilium defaults",4,Tier 2 — Strong,"KubeSkoop GitHub (alibaba/kubeskoop); Terway GitHub; Alibaba Cloud blog on Terway; Cilium USERS.md entry"
SAP,Enterprise Software / ERP / Cloud,Germany (Global),Cilium for SAP Concur (self-hosted k8s on AWS) and Gardener managed Kubernetes clusters (AWS / Azure / GCP / OpenStack).,"Cilium; Gardener (open-source multi-cloud Kubernetes); CiliumNetworkPolicy","SAP Concur: business travel management platform with millions of users; Gardener manages Kubernetes across 4 cloud providers for SAP enterprise customers; Cilium enforces network policies throughout",YES,Enterprise customer SLAs require verifiable network isolation. Verify Cilium NF in Gardener correctly isolates tenant workloads across 4 cloud providers,YES,"Cross-cloud policy debugging: ""Does the Cilium NF behave identically for the same NetworkPolicy on AWS vs. Azure?"" Behavioral analysis catches cloud-specific NF behavioral divergence",PARTIAL,Gardener multi-cloud scale — consistent NF execution across cloud providers matters for SAP's SLA uniformity promise,3,Tier 2 — Strong,"Cilium USERS.md (SAP entry); Gardener GitHub; KubeCon SAP/Gardener presentations"
Adobe,Creative Software / SaaS,USA (Global),Cilium via Project Ethos (multi-tenant multi-cloud Kubernetes). L3/L4/L7 policy NFs across AWS and Azure. Flex self-service policy template system generates Cilium NFs from developer-supplied templates.,"Cilium; Project Ethos (internal); Flex policy system","Project Ethos is Adobe's internal multi-tenant cloud platform; developers submit L7 policy templates through Flex which are translated into Cilium eBPF NFs; Adobe engineers manage the translation layer",YES,Multi-tenant SaaS — Cilium NF must correctly enforce isolation between customer projects. Verify translated NF matches the policy template intent.,YES,"Flex translates templates to eBPF NFs — behavioral analysis diagnoses translation gaps: ""Does the generated Cilium NF actually enforce what the developer's Flex template intended?""",PARTIAL,Multi-cloud NF performance consistency,3,Tier 2 — Strong,"Adobe KubeCon talk; Isovalent Adobe case study; Adobe.com/tech blog; Cilium USERS.md entry"
New York Times,Media / Publishing,USA,Cilium on EKS. Multi-region multi-tenant shared clusters. Maglev load balancing NF; kube-proxy replacement; Hubble for debugging; CiliumNetworkPolicy.,"Cilium; Hubble; Maglev LB NF; kube-proxy replacement NF; CiliumNetworkPolicy","Multi-region multi-tenant k8s: different NYT editorial teams share clusters; Maglev LB NF balances traffic; Cilium policy NFs isolate editorial teams; Hubble used for policy troubleshooting",YES,Multi-tenant editorial isolation — verify Cilium NF correctly isolates teams and prevents cross-team resource access,YES,"Hubble used for policy troubleshooting — Yaksha Prashna adds NF behavioral explanation: ""Under what conditions does the policy NF block subscription service traffic to this backend?""",PARTIAL,Media serving at scale — Maglev LB NF performance matters,3,Tier 2 — Strong,"CNCF NYT KubeCon presentation; Cilium USERS.md (New York Times entry)"
IKEA IT AB (Ingka Group),Retail Technology,Sweden (Global),"Cilium with broad features: Multi-NIC XDP; BGP advertisements; Egress Gateway; Cluster Mesh; Hubble + OpenTelemetry; Bandwidth Manager; kube-proxy replacement; CiliumNetworkPolicy","Cilium (full feature set); Hubble; OpenTelemetry; Multi-NIC XDP NF; BGP NF; Bandwidth Manager NF","IKEA's technology arm runs global retail infrastructure on Cilium with one of the broadest eBPF NF deployments (Multi-NIC XDP + BGP + Bandwidth + ClusterMesh simultaneously)",YES,PCI-DSS compliance for retail + payment cards — Cilium NF must correctly enforce cardholder data environment isolation across global infrastructure,YES,"Multi-NIC XDP NFs are complex — ""Under what traffic conditions does this XDP NF redirect across NICs vs. drop?"" is a behavioral question only answerable via program analysis",YES,BGP NF + Bandwidth Manager NF + XDP NF all contribute to network performance — behavioral analysis identifies bottlenecks in each.,3,Tier 2 — Strong,"Cilium USERS.md (IKEA IT AB entry); eBPF.io user story"
Shopify,E-Commerce Platform,Canada (Global),"Cilium-based Kubernetes networking; peak load traffic management (Black Friday: ~100k orders/min); PCI-DSS network segmentation NFs","Cilium; eBPF-based observability","Peak load Kubernetes architecture running eBPF NFs for network policy enforcement; PCI-DSS compliance for payment card data; Cilium enforces cardholder data environment isolation",YES,"PCI-DSS mandates verifiable network segmentation. Yaksha Prashna provides automated conformance proof that Cilium NF correctly isolates payment card data from other workloads — replaces expensive annual pen-testing",PARTIAL,Hubble-based debugging for network connectivity issues,YES — Critical,Black Friday traffic peaks — NF efficiency directly impacts order processing throughput; milliseconds matter at 100k orders/min,3,Tier 2 — Strong,"Shopify Engineering blog; Cilium USERS.md; PCI-DSS compliance requirement for payment processors"
DoorDash,Food Delivery / Logistics,USA,BPFAgent: custom eBPF-based Kubernetes cluster monitoring agent. Results: 40% less memory; 98% fewer OOMKills; 80% faster deployments per cluster.,"BPFAgent (custom eBPF); DoorDash engineering (in-house development)","Replaced traditional monitoring sidecar with custom eBPF agent; eBPF NF runs in-kernel to collect container/host metrics without heavy overhead; fundamental production infrastructure",PARTIAL,BPFAgent monitoring NF correctness — verify it captures ALL signals it's supposed to,YES — Critical,"BPFAgent behavior varies across clusters — Yaksha Prashna retrieval queries answer: ""Under what conditions does this monitoring NF behave differently?"" — critical for diagnosing cluster-specific OOM issues",YES — Critical,"All three documented improvements (40% memory; 98% OOMKill reduction; 80% deployment speed) are from understanding and optimizing the eBPF monitoring NF behavior",3,Tier 2 — Strong,"DoorDash Engineering blog on BPFAgent; eBPF.io user story"
Samsung Ads,Digital Advertising Technology,South Korea / USA,Cilium migrated from Calico for production ad-serving Kubernetes clusters. 33% reduction in P99 API gateway latency documented.,"Cilium; Hubble; kube-proxy replacement NF; CiliumNetworkPolicy","High-volume real-time ad-serving traffic (sub-100ms deadline for every ad impression); migrated to Cilium for performance; 33% P99 latency improvement from eBPF-based NF",PARTIAL,Ad-serving network policy conformance — ensuring Cilium NF doesn't accidentally delay or block ad request paths,YES,"Why does the NF occasionally add latency to API gateway requests? Behavioral analysis under specific traffic patterns vs. background load",YES — Critical,"33% P99 latency reduction was the goal. Yaksha Prashna identifies which NF code paths are exercised by API gateway traffic and where additional optimization opportunities lie",3,Tier 2 — Strong,"Samsung CNCF talk; eBPF.io user story; Samsung Ads engineering"
Trendyol,E-Commerce (Turkey's Largest),Turkey,Cilium as default CNI (Kubernetes v1.26+). +40% internal network throughput improvement documented post-migration.,"Cilium; Hubble; kube-proxy replacement","Turkey's largest e-commerce platform migrated container networking to Cilium eBPF; Hubble for visibility; 40% throughput gain demonstrates NF-level performance impact",PARTIAL,Network policy conformance for e-commerce workload isolation,YES,"Hubble-based debugging + NF behavioral analysis for routing anomalies at high traffic volumes (e-commerce peaks)",YES — Critical,"40% throughput gain from eBPF NF. Yaksha Prashna behavioral analysis can identify further optimization — which traffic classes take expensive code paths in the current Cilium NF configuration?",3,Tier 2 — Strong,CNCF case study on Trendyol Cilium migration
DB Schenker (Schenker AG),Global Logistics (Daimler Group),Germany (Global),Cilium migrated from Calico on self-managed Kubernetes (AWS). WireGuard transparent encryption NF; L7 observability via Hubble; simplified vs. service mesh.,"Cilium; Hubble; WireGuard encryption NF; CiliumNetworkPolicy","Supply chain logistics with global operations migrated to Cilium; replaced complex service mesh with WireGuard-based transparent encryption via Cilium eBPF NF; L7 Hubble observability",YES,Verify WireGuard encryption NF correctly encrypts all traffic matching policy — supply chain logistics data security requires verifiable encryption conformance,YES,"Migration from Calico introduced behavioral differences — ""Under what conditions does the new Cilium NF behave differently from Calico for the same policy?"" Yaksha Prashna diagnoses migration-induced behavioral regressions",PARTIAL,Simplified architecture reduces overhead vs. service mesh — verifying NF efficiency validates the architectural decision,3,Tier 2 — Strong,"CNCF DB Schenker case study; Cilium USERS.md (Schenker AG entry)"
Bell Canada,Canadian Telecom Operator,Canada,Cloud-native 5G core NFs implemented with eBPF. Cilium-based Kubernetes networking for 5G workload orchestration.,"Cilium; custom 5G NFs; cloud-native network functions","Canada's largest telecom building cloud-native 5G core using eBPF-based NFs for network slicing, QoS enforcement, security tracing; similar architecture to Rakuten Mobile",YES,"5G NFs must conform to 3GPP standards — regulatory compliance in telecommunications. Verify eBPF implementations of 5G core NFs match regulatory behavioral specifications",YES,5G network slice debugging requires NF behavioral analysis to trace why a specific subscriber's session failed or experienced degraded QoS,YES,5G ultra-low latency — eBPF NF microsecond overhead analysis is critical for network function performance,3,Tier 2 — Strong,"eBPF.foundation user story; Bell Canada 5G cloud-native initiatives"
S&P Global,Financial Data / Ratings,USA (Global),"Cilium for multi-cloud and private cloud networking. Market data network monitoring NFs (ultra-low latency requirements for financial data distribution)","Cilium; market data eBPF NFs","Critical financial market data infrastructure; eBPF NFs for network monitoring with sub-ms latency requirements; multi-cloud private cloud networking for global financial data distribution",YES,Financial data network isolation — conformance of Cilium policy NFs must be verifiable for regulatory compliance (SEC; CFTC),PARTIAL,Market data routing debugging — NF behavioral analysis for latency spikes in time-sensitive financial data flows,YES — Critical,Sub-millisecond market data timing requirements — eBPF NF performance analysis is mission-critical for financial data SLA commitments,3,Tier 2 — Strong,eBPF.io user story (S&P Global)
Form3,Payments Infrastructure (UK),UK,Cilium on bare-metal production clusters. Service load-balancing NF; encryption NF; NetworkPolicies.,"Cilium; bare-metal Kubernetes; CiliumNetworkPolicy; service load-balancing NF; encryption NF","UK payments infrastructure company running real-time payment processing (FPS — Faster Payments Scheme); Cilium on bare-metal for lowest latency; encryption NF for PCI compliance",YES,FCA (Financial Conduct Authority) regulatory compliance — verify Cilium NFs enforce network isolation guarantees required by UK financial regulators,YES,Payment routing anomalies are high-priority incidents — behavioral analysis of load-balancing NF answers why specific payment transactions were routed to wrong backend,PARTIAL,Real-time payment processing SLA — load-balancing NF efficiency matters for sub-second payment completion,3,Tier 2 — Strong,Cilium USERS.md (Form3 entry)
Equinix,Data Center / Bare Metal Cloud / Interconnection,USA (Global),Cilium on bare-metal production Kubernetes clusters (Equinix Metal + Equinix NL Managed Services). BGP advertisement NFs; CiliumNetworkPolicy; Hubble.,"Cilium; BGP advertisement NF; Hubble; CiliumNetworkPolicy; CiliumClusterWideNetworkPolicy","Equinix Metal: bare-metal cloud using Cilium for production k8s; BGP-based routing NFs for network reachability; multi-tenant data center requires strict isolation",YES,Multi-tenant bare-metal data center — Cilium NF conformance for tenant isolation at the network layer,YES,"BGP advertisement NF behavioral analysis: ""Under what conditions does this NF announce/withdraw specific routes?"" Critical for diagnosing Equinix routing anomalies affecting customers",PARTIAL,Bare-metal networking performance — BGP NF efficiency matters for network convergence time,3,Tier 2 — Strong,"Cilium USERS.md (two Equinix entries: Metal and NL Managed Services)"
