Company,Industry Segment,eBPF Network Functions Used,eBPF Tool / Project,How They Use eBPF,Use Case 1: Security (Conformance Check),Use Case 2: Debugging (NF Behavior Understanding),Use Case 3: Performance,Fit Score (1-5),Target Priority,Notes / Evidence
Sysdig / Falco (CNCF),Cloud-Native Security,"Syscall tracing, network activity monitor, container escape detector","Falco eBPF driver, Sysdig agent","Falco uses eBPF to capture kernel syscall and network events for real-time threat detection in Kubernetes environments","YES — Falco rules must be correctly encoded in the eBPF driver; conformance ensures no security event is missed","YES — Debugging false positives or missed detections requires understanding what the eBPF tracing NF actually captures","PARTIAL — Performance relevant (Falco overhead matters) but secondary",4,Tier 2 — Strong,"Falco is CNCF project used by major enterprises. Sysdig acquired Falco. eBPF driver is the default capture mechanism."
AWS (Amazon),Cloud Provider,"EKS Kubernetes networking, VPC networking","Cilium (EKS default CNI), custom VPC eBPF programs","AWS adopted Cilium as the default CNI for EKS; eBPF-based programs handle VPC routing rules and security group enforcement","YES — Security group enforcement via eBPF NFs must exactly match AWS VPC security semantics; conformance = cloud security","YES — Customers regularly file AWS support tickets about unexpected network behavior in EKS; behavioral analysis tooling would help","YES — VPC scale demands efficient NF execution",3,Tier 2 — Strong,"AWS EKS Cilium announcement 2023. Cilium is default for EKS Anywhere."
Shopify,E-Commerce,Network policy enforcement; traffic observability under peak loads (e.g. Black Friday),"Cilium, custom eBPF observability","Uses eBPF for zero-downtime network observability and policy enforcement during massive traffic spikes","YES — PCI-DSS compliance requires network policy conformance; eBPF NF verification is a compliance audit tool","YES — Debugging network failures during Black Friday sales peaks is critical and time-sensitive","YES — Performance under peak load is existential; understanding NF behavior helps capacity planning",3,Tier 2 — Strong,"Shopify Engineering blog on infrastructure. PCI-DSS compliance applies to all payment processors."
DoorDash,Food Delivery / Logistics,"Kubernetes cluster monitoring agent","BPFAgent (custom)","Replaced traditional monitoring agent with eBPF-based BPFAgent; achieved 40% less memory, 98% fewer OOMKills, 80% faster deployments","PARTIAL — BPFAgent monitors but conformance of monitoring NF less of a security concern","YES — Understanding why BPFAgent behaves differently across clusters is exactly the debugging use case","YES — Primary driver was resource performance of the monitoring NF itself",3,Tier 2 — Strong,"DoorDash engineering blog post on BPFAgent. Kubernetes-native deployment."
Bell Canada,Telecommunications / 5G,"5G core network functions; network slicing enforcement","Custom 5G NF eBPF programs, Cilium","Deploying cloud-native 5G core using eBPF-based NFs for network slicing, QoS enforcement, and security tracing","YES — Regulatory and 3GPP standards require NF conformance; verification is a compliance requirement","YES — 5G network slice debugging requires understanding NF behavior to trace policy violations","YES — 5G latency requirements demand efficient NF implementations",3,Tier 2 — Strong,"Bell Canada eBPF.foundation user story. Telecom cloud-native transformation program."
New Relic,Observability SaaS,"Application performance monitoring APM; network tracing","Custom eBPF agents","Uses eBPF to provide zero-instrumentation APM — traces application and network behavior without code changes","PARTIAL — Conformance of monitoring NF less critical but data accuracy matters","YES — Customers use New Relic to debug application and network anomalies; behavioral query of NFs would add depth","YES — Agent overhead is a commercial sensitivity; NF performance optimization matters",3,Tier 3 — Moderate,"New Relic engineering blog on eBPF. Observability SaaS market."
Alibaba Cloud,Cloud Provider / Hyperscaler,"Container networking, DDoS protection, cloud-native security","Cilium, custom eBPF programs","Alibaba Cloud uses eBPF for cloud-native networking, container isolation, and DDoS mitigation at hyperscale","YES — Security conformance of cloud network isolation NFs is critical for multi-tenant cloud safety","YES — Debugging network isolation failures at cloud scale requires behavioral analysis","YES — Scale requires eBPF efficiency",3,Tier 3 — Moderate,"Alibaba eBPF.io user story. ACK (Alibaba Container Service) uses Cilium."
Capital One,Financial Services / Banking,"Network policy enforcement, compliance monitoring","Cilium, custom eBPF programs","Uses eBPF for cloud-native network policy enforcement and compliance monitoring in regulated workloads","YES — SOX / PCI-DSS compliance requires verifying that network enforcement NFs correctly block unauthorized traffic","YES — Compliance audits require explaining NF behavior to auditors — behavioral querying is directly useful","PARTIAL — Performance secondary to correctness",3,Tier 3 — Moderate,"Capital One eBPF.io user story. Financial services compliance use case is strong."
S&P Global,Financial Services / Data,"Market data network monitoring","Custom eBPF programs","Uses eBPF to monitor market data network flows with ultra-low overhead","YES — Conformance of monitoring NFs to data capture specifications matters for data quality","YES — Debugging data loss or latency spikes in market data pipelines","YES — Ultra-low latency market data requirements make NF performance critical",3,Tier 3 — Moderate,"S&P Global eBPF.io user story."
Apple,Consumer Tech / OS,"macOS / iOS network traffic filtering","Custom XNU eBPF-like programs (Network Extension framework); Linux eBPF on internal servers","Internal infrastructure uses eBPF for server-side observability; macOS Network Extension framework has analogous concepts","YES — Network filtering policy conformance on internal infrastructure","YES — Debugging NF behavior on internal cloud infrastructure","YES — Efficiency on Apple Silicon servers",2,Tier 3 — Moderate,"Apple uses eBPF internally. Less public information available."
Seznam.cz,European Internet / Search,"Web serving network optimization","Custom eBPF programs","Czech internet company using eBPF for network load balancing and packet filtering optimization","PARTIAL","YES — Debugging network function behavior at CDN scale","YES — Performance optimization is primary use case",2,Tier 3 — Moderate,"Seznam listed as eBPF.io user. CEE market."
IKEA (Technology),Retail / E-Commerce,"Kubernetes-based retail infrastructure network","Cilium","IKEA's technology division uses Cilium for Kubernetes networking across retail infrastructure","YES — Network policy conformance in multi-region retail infrastructure","YES — Debugging network policies in large Kubernetes deployments","PARTIAL",2,Tier 3 — Moderate,"IKEA eBPF.io user story."
